epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,200.697,0.73048,0.65524,1.11331,0.75894,0.74418,0.76452,0.56459,0.95636,0.88073,1.22105,0.000990365,0.000990365,0.000990365
43,205.082,0.73612,0.69211,1.12027,0.83985,0.69415,0.76324,0.55239,0.97279,0.88894,1.22562,0.000973861,0.000973861,0.000973861
44,209.962,0.70491,0.63968,1.10778,0.8147,0.6871,0.766,0.53463,1.0057,0.91129,1.25242,0.000957358,0.000957358,0.000957358
45,214.84,0.72919,0.67301,1.11429,0.84003,0.67336,0.73946,0.52626,1.0154,0.88946,1.27093,0.000940855,0.000940855,0.000940855
46,219.557,0.71308,0.63029,1.09967,0.82635,0.67923,0.71316,0.50808,0.98314,0.92622,1.24894,0.000924352,0.000924352,0.000924352
47,223.993,0.7109,0.66869,1.0943,0.83522,0.70374,0.73812,0.52855,0.99349,0.91705,1.24804,0.000907848,0.000907848,0.000907848
48,228.461,0.70891,0.63012,1.09953,0.83335,0.65249,0.71767,0.51725,1.01832,0.99808,1.23604,0.000891345,0.000891345,0.000891345
49,232.928,0.71601,0.63338,1.11428,0.82671,0.66018,0.71612,0.50297,1.06157,1.07531,1.2704,0.000874842,0.000874842,0.000874842
50,237.863,0.71748,0.63543,1.0884,0.81909,0.69125,0.73857,0.51133,1.08596,0.96697,1.27789,0.000858338,0.000858338,0.000858338
51,242.495,0.68015,0.60683,1.07996,0.794,0.6964,0.74396,0.52771,1.08111,0.97344,1.27189,0.000841835,0.000841835,0.000841835
52,247.233,0.7002,0.64501,1.10635,0.80037,0.6829,0.712,0.51359,1.01486,0.97482,1.26035,0.000825332,0.000825332,0.000825332
53,251.996,0.65453,0.59705,1.0716,0.8177,0.69203,0.7289,0.52845,1.02627,0.94812,1.25146,0.000808828,0.000808828,0.000808828
54,256.46,0.66737,0.60658,1.0858,0.79267,0.71093,0.73118,0.51895,1.02689,0.9186,1.25151,0.000792325,0.000792325,0.000792325
55,260.986,0.65997,0.59661,1.06759,0.81077,0.73715,0.76876,0.54903,1.01343,0.83066,1.25033,0.000775822,0.000775822,0.000775822
56,265.648,0.65263,0.57832,1.05036,0.82411,0.71662,0.76991,0.55842,0.94875,0.85535,1.21725,0.000759318,0.000759318,0.000759318
57,270.211,0.66582,0.5829,1.07958,0.79758,0.70682,0.74869,0.54705,1.03786,1.0108,1.25419,0.000742815,0.000742815,0.000742815
58,274.779,0.66151,0.60294,1.07242,0.87458,0.69975,0.75215,0.56129,0.9059,0.91954,1.17919,0.000726312,0.000726312,0.000726312
59,279.559,0.65481,0.59155,1.07552,0.8392,0.66728,0.72171,0.52854,1.00492,0.96856,1.25741,0.000709809,0.000709809,0.000709809
60,284.12,0.64202,0.57236,1.04837,0.81064,0.65625,0.7108,0.5031,1.04778,0.98915,1.29236,0.000693305,0.000693305,0.000693305
61,288.922,0.62586,0.56915,1.04549,0.81356,0.69151,0.74286,0.54196,1.02973,0.97876,1.28309,0.000676802,0.000676802,0.000676802
62,293.674,0.61476,0.54616,1.06112,0.81226,0.68199,0.73366,0.51548,1.04803,1.02042,1.31276,0.000660299,0.000660299,0.000660299
63,298.268,0.64475,0.55279,1.06499,0.84126,0.66767,0.73974,0.52597,1.02355,0.95395,1.25604,0.000643795,0.000643795,0.000643795
64,302.998,0.63055,0.54215,1.06448,0.81502,0.67555,0.73392,0.53383,0.98857,0.97442,1.26047,0.000627292,0.000627292,0.000627292
65,308.305,0.62423,0.55486,1.05358,0.81455,0.68314,0.71202,0.5202,0.9471,0.93871,1.22049,0.000610789,0.000610789,0.000610789
66,312.891,0.58233,0.52842,1.03915,0.87607,0.70803,0.75127,0.54194,0.97269,0.90083,1.23596,0.000594286,0.000594286,0.000594286
67,317.483,0.62007,0.53081,1.05315,0.88783,0.69131,0.76844,0.56895,0.9578,0.86038,1.21345,0.000577782,0.000577782,0.000577782
68,322.136,0.61555,0.51708,1.04117,0.82105,0.69016,0.76344,0.55755,0.99224,0.93334,1.2421,0.000561279,0.000561279,0.000561279
69,327.06,0.62807,0.54035,1.04066,0.82544,0.67279,0.73565,0.52895,1.048,1.02046,1.28611,0.000544776,0.000544776,0.000544776
70,332.033,0.58996,0.51643,1.0352,0.81582,0.69815,0.7445,0.54348,0.99563,0.96003,1.22098,0.000528272,0.000528272,0.000528272
71,336.83,0.60612,0.51245,1.0394,0.8489,0.6746,0.74296,0.55746,0.92073,0.8573,1.18123,0.000511769,0.000511769,0.000511769
72,341.626,0.58717,0.51769,1.02696,0.84668,0.69761,0.74958,0.5462,0.97378,0.87172,1.23154,0.000495266,0.000495266,0.000495266
73,346.552,0.59782,0.50849,1.04363,0.83182,0.71906,0.76661,0.57116,0.95259,0.83811,1.22947,0.000478762,0.000478762,0.000478762
74,351.149,0.57755,0.49713,1.03637,0.83897,0.7033,0.75436,0.55339,0.96755,0.92666,1.24932,0.000462259,0.000462259,0.000462259
75,355.678,0.60302,0.51102,1.03978,0.8334,0.6873,0.74665,0.55518,0.98999,0.95628,1.24198,0.000445756,0.000445756,0.000445756
76,360.691,0.57213,0.49197,1.01194,0.85021,0.70282,0.75001,0.55576,0.97861,0.88108,1.25108,0.000429253,0.000429253,0.000429253
77,365.413,0.56534,0.50247,1.02937,0.84446,0.70906,0.77357,0.56909,0.99468,0.82601,1.23086,0.000412749,0.000412749,0.000412749
78,370.053,0.56657,0.49704,1.0368,0.86225,0.69839,0.78294,0.57283,0.98178,0.85291,1.20976,0.000396246,0.000396246,0.000396246
79,374.615,0.56466,0.49339,1.01167,0.83976,0.70658,0.76921,0.55752,0.96979,0.89009,1.19532,0.000379743,0.000379743,0.000379743
80,379.538,0.59733,0.5083,1.04828,0.82696,0.72011,0.77191,0.55503,1.0029,0.95892,1.20062,0.000363239,0.000363239,0.000363239
81,384.324,0.55834,0.48442,1.01058,0.83475,0.71655,0.76887,0.56313,0.99197,0.87217,1.21675,0.000346736,0.000346736,0.000346736
82,388.989,0.55782,0.48014,1.0131,0.85285,0.69547,0.77168,0.56528,0.95521,0.85742,1.2035,0.000330233,0.000330233,0.000330233
83,393.944,0.54819,0.46641,1.01183,0.85534,0.73317,0.77526,0.56479,0.95075,0.83333,1.20467,0.000313729,0.000313729,0.000313729
84,398.533,0.53937,0.46818,1.01244,0.8499,0.71503,0.76558,0.57377,0.92172,0.80385,1.20224,0.000297226,0.000297226,0.000297226
85,402.958,0.5404,0.46203,1.01635,0.85022,0.71644,0.76965,0.57707,0.91436,0.79216,1.20401,0.000280723,0.000280723,0.000280723
86,407.708,0.53239,0.46083,0.98651,0.85539,0.70359,0.75937,0.574,0.90598,0.79463,1.18333,0.00026422,0.00026422,0.00026422
87,412.217,0.53182,0.44993,0.9978,0.85383,0.70788,0.75527,0.57234,0.90226,0.82516,1.17071,0.000247716,0.000247716,0.000247716
88,416.865,0.53203,0.45543,1.0079,0.87601,0.69963,0.756,0.58033,0.90763,0.82487,1.16711,0.000231213,0.000231213,0.000231213
89,421.467,0.5134,0.4498,0.99588,0.85246,0.70057,0.76109,0.57675,0.93438,0.86348,1.18668,0.00021471,0.00021471,0.00021471
90,426.282,0.54126,0.45985,1.00061,0.88389,0.69393,0.76448,0.57671,0.92285,0.8342,1.17429,0.000198206,0.000198206,0.000198206
91,521.478,0.53628,0.49469,0.98628,0.87223,0.69761,0.76979,0.57677,0.93766,0.84401,1.17979,0.000181703,0.000181703,0.000181703
92,526.145,0.51447,0.4253,0.94981,0.87812,0.65411,0.75896,0.56633,0.96224,0.92163,1.20596,0.0001652,0.0001652,0.0001652
93,530.742,0.51608,0.43393,0.95021,0.82938,0.69567,0.75766,0.56729,0.95692,0.88638,1.21519,0.000148696,0.000148696,0.000148696
94,535.48,0.48469,0.394,0.93634,0.85363,0.69026,0.75139,0.56667,0.92753,0.80533,1.20139,0.000132193,0.000132193,0.000132193
95,540.01,0.48356,0.37529,0.93692,0.84051,0.70912,0.75268,0.56992,0.90527,0.79508,1.191,0.00011569,0.00011569,0.00011569
96,544.995,0.48281,0.39097,0.93436,0.85753,0.71116,0.75376,0.57198,0.89067,0.792,1.17791,9.91865e-05,9.91865e-05,9.91865e-05
97,549.771,0.47536,0.38334,0.942,0.86637,0.70282,0.75995,0.57886,0.88738,0.80105,1.15819,8.26832e-05,8.26832e-05,8.26832e-05
98,554.418,0.46022,0.37314,0.91635,0.86599,0.69547,0.76171,0.58187,0.89691,0.79581,1.15604,6.61799e-05,6.61799e-05,6.61799e-05
99,558.895,0.45626,0.36172,0.93577,0.87078,0.69179,0.76336,0.58251,0.89906,0.80464,1.15585,4.96766e-05,4.96766e-05,4.96766e-05
100,563.476,0.47144,0.38834,0.9474,0.86954,0.69462,0.76678,0.58215,0.89675,0.80095,1.1585,3.31733e-05,3.31733e-05,3.31733e-05
